Channel              :,CH1,CH2,CH3
Frequency            :,  ?,  ?,  ?
Period               :,  ?,  ?,  ?
PK-PK                :,5.771V,265.0mV,121.0mV
Average              :,2.464V,-36.12mV,1.309V
Vertical pos         :,1.000000mV,1.000000mV,1.000000mV
Probe attenuation    :,1X,1X,1X
Voltage per ADC value:,0.312500mV,0.156250mV,0.031250mV
Time interval        :,0.40000uS,0.40000uS,0.40000uS

index,CH1_Voltage(mV),CH2_Voltage(mV),CH3_Voltage(mV)
285,4943.750000285,-38.125000285,1614.000000
286,4943.750000286,-38.125000286,1614.000000
287,4943.750000287,-38.125000287,1614.000000
288,4943.750000288,-38.125000288,1614.000000
289,4943.750000289,-38.125000289,1614.000000
290,4943.750000290,-38.125000290,1614.000000
291,4943.750000291,-38.125000291,1614.000000
292,4943.750000292,10.000000292,1614.000000
293,4943.750000293,-38.125000293,1614.000000
294,4943.750000294,-38.125000294,1614.000000
295,4943.750000295,-38.125000295,1614.000000
296,4943.750000296,10.000000296,1614.000000
297,4943.750000297,-38.125000297,1623.625000
298,4943.750000298,-38.125000298,1614.000000
299,4943.750000299,10.000000299,1614.000000
300,4943.750000300,-38.125000300,1614.000000
301,4943.750000301,-38.125000301,1614.000000
302,4943.750000302,-38.125000302,1614.000000
303,4943.750000303,-38.125000303,1614.000000
304,4943.750000304,-38.125000304,1614.000000
305,4943.750000305,-38.125000305,1614.000000
306,4943.750000306,-38.125000306,1614.000000
307,4943.750000307,10.000000307,1614.000000
308,4943.750000308,-38.125000308,1614.000000
309,4943.750000309,-38.125000309,1614.000000
310,4943.750000310,-38.125000310,1614.000000
311,4943.750000311,-38.125000311,1614.000000
312,4943.750000312,-38.125000312,1614.000000
313,4943.750000313,-38.125000313,1614.000000
314,4943.750000314,-38.125000314,1614.000000
315,4943.750000315,-38.125000315,1604.375000
316,4943.750000316,-38.125000316,1604.375000
317,4943.750000317,-38.125000317,1614.000000
318,4943.750000318,10.000000318,1614.000000
319,4943.750000319,-38.125000319,1604.375000
320,4943.750000320,-38.125000320,1604.375000
321,4943.750000321,-38.125000321,1604.375000
322,4943.750000322,-38.125000322,1614.000000
323,4943.750000323,-38.125000323,1614.000000
324,4943.750000324,-38.125000324,1604.375000
325,4943.750000325,-38.125000325,1604.375000
326,4943.750000326,-38.125000326,1604.375000
327,4943.750000327,10.000000327,1604.375000
328,4943.750000328,-38.125000328,1604.375000
329,4943.750000329,-38.125000329,1604.375000
330,4943.750000330,-38.125000330,1604.375000
331,4943.750000331,-38.125000331,1604.375000
332,4943.750000332,-38.125000332,1604.375000
333,4943.750000333,10.000000333,1604.375000
334,4943.750000334,-38.125000334,1604.375000
335,4943.750000335,-38.125000335,1604.375000
336,4943.750000336,-38.125000336,1604.375000
337,4943.750000337,-38.125000337,1604.375000
338,4943.750000338,-38.125000338,1604.375000
339,4943.750000339,10.000000339,1604.375000
340,4943.750000340,-38.125000340,1604.375000
341,4943.750000341,-38.125000341,1604.375000
342,4943.750000342,-38.125000342,1604.375000
343,5041.250000343,-38.125000343,1604.375000
344,4943.750000344,-38.125000344,1604.375000
345,4943.750000345,-38.125000345,1604.375000
346,4943.750000346,-38.125000346,1594.750000
347,4943.750000347,-38.125000347,1604.375000
348,4943.750000348,-38.125000348,1604.375000
349,4943.750000349,-38.125000349,1604.375000
350,4943.750000350,-38.125000350,1594.750000
351,4943.750000351,-38.125000351,1604.375000
352,4943.750000352,-38.125000352,1604.375000
353,4943.750000353,-38.125000353,1604.375000
354,4943.750000354,-38.125000354,1594.750000
355,4943.750000355,-38.125000355,1594.750000
356,4943.750000356,-38.125000356,1604.375000
357,4943.750000357,-38.125000357,1594.750000
358,4943.750000358,10.000000358,1594.750000
359,4943.750000359,-38.125000359,1604.375000
360,4943.750000360,-38.125000360,1604.375000
361,4943.750000361,-38.125000361,1594.750000
362,4943.750000362,-38.125000362,1604.375000
363,4943.750000363,-38.125000363,1594.750000
364,4943.750000364,-38.125000364,1594.750000
365,4943.750000365,-38.125000365,1594.750000
366,4943.750000366,-38.125000366,1604.375000
367,4943.750000367,-38.125000367,1594.750000
368,4943.750000368,-38.125000368,1594.750000
369,4943.750000369,-38.125000369,1594.750000
370,4943.750000370,-38.125000370,1594.750000
371,4943.750000371,-38.125000371,1594.750000
372,4943.750000372,-38.125000372,1594.750000
373,4943.750000373,-38.125000373,1594.750000
374,4943.750000374,10.000000374,1594.750000
375,4943.750000375,-38.125000375,1594.750000
376,4943.750000376,-38.125000376,1594.750000
377,4943.750000377,-38.125000377,1594.750000
378,4943.750000378,-38.125000378,1594.750000
379,4943.750000379,-38.125000379,1594.750000
380,4943.750000380,-38.125000380,1594.750000
381,4943.750000381,-38.125000381,1594.750000
382,4943.750000382,-38.125000382,1594.750000
383,4943.750000383,-38.125000383,1585.125000
384,4943.750000384,-38.125000384,1594.750000
385,4943.750000385,-38.125000385,1594.750000
386,4943.750000386,-38.125000386,1585.125000
387,4943.750000387,10.000000387,1594.750000
388,4943.750000388,-38.125000388,1594.750000
389,4943.750000389,-38.125000389,1594.750000
390,4943.750000390,-38.125000390,1594.750000
391,4943.750000391,-38.125000391,1594.750000
392,4943.750000392,-38.125000392,1594.750000
393,4943.750000393,-38.125000393,1594.750000
394,4943.750000394,-38.125000394,1594.750000
395,4943.750000395,-38.125000395,1594.750000
396,4943.750000396,-38.125000396,1594.750000
397,4943.750000397,-38.125000397,1585.125000
398,4943.750000398,-38.125000398,1585.125000
399,4943.750000399,-38.125000399,1594.750000
