Channel              :,CH1,CH2,CH3
Frequency            :,  ?,  ?,  ?
Period               :,  ?,  ?,  ?
PK-PK                :,6.781V,4.016V?,695.3mV
Average              :,2.685V,-50.10mV?,702.7mV
Vertical pos         :,1.000000mV,1.000000mV,1.000000mV
Probe attenuation    :,1X,1X,1X
Voltage per ADC value:,0.312500mV,0.156250mV,0.031250mV
Time interval        :,0.00200uS,0.00200uS,0.00200uS

index,CH1_Voltage(mV),CH2_Voltage(mV),CH3_Voltage(mV)
266,5041.250000266,10.000000266,293.125000
267,5041.250000267,-38.125000267,293.125000
268,5041.250000268,-38.125000268,293.125000
269,5041.250000269,-38.125000269,293.125000
270,5041.250000270,10.000000270,293.125000
271,5041.250000271,-38.125000271,283.500000
272,5041.250000272,10.000000272,293.125000
273,5041.250000273,-38.125000273,293.125000
274,5041.250000274,-38.125000274,293.125000
275,5041.250000275,-38.125000275,293.125000
276,5041.250000276,-38.125000276,293.125000
277,5041.250000277,-38.125000277,293.125000
278,5041.250000278,10.000000278,293.125000
279,5041.250000279,-38.125000279,293.125000
280,5041.250000280,-38.125000280,293.125000
281,5041.250000281,10.000000281,293.125000
282,5041.250000282,-38.125000282,283.500000
283,5041.250000283,-38.125000283,293.125000
284,5041.250000284,-38.125000284,293.125000
285,5041.250000285,-38.125000285,293.125000
286,5041.250000286,10.000000286,293.125000
287,5041.250000287,-38.125000287,293.125000
288,5137.500000288,10.000000288,293.125000
289,5041.250000289,-38.125000289,293.125000
290,5041.250000290,-38.125000290,293.125000
291,5041.250000291,-38.125000291,293.125000
292,5041.250000292,-38.125000292,293.125000
293,5041.250000293,-38.125000293,293.125000
294,5041.250000294,-38.125000294,293.125000
295,5041.250000295,-38.125000295,293.125000
296,5041.250000296,10.000000296,293.125000
297,5041.250000297,-38.125000297,293.125000
298,5041.250000298,-38.125000298,293.125000
299,5041.250000299,-38.125000299,293.125000
300,5041.250000300,10.000000300,293.125000
301,5041.250000301,-38.125000301,293.125000
302,5041.250000302,10.000000302,293.125000
303,5041.250000303,-38.125000303,293.125000
304,5041.250000304,-38.125000304,293.125000
305,5041.250000305,-38.125000305,293.125000
306,5041.250000306,-38.125000306,293.125000
307,5041.250000307,-38.125000307,293.125000
308,5041.250000308,-38.125000308,293.125000
309,5041.250000309,-38.125000309,293.125000
310,5041.250000310,10.000000310,293.125000
311,5041.250000311,-38.125000311,293.125000
312,5041.250000312,-38.125000312,283.500000
313,5041.250000313,-38.125000313,293.125000
314,5041.250000314,10.000000314,293.125000
315,5041.250000315,-38.125000315,293.125000
316,5041.250000316,-38.125000316,293.125000
317,5041.250000317,-38.125000317,293.125000
318,5041.250000318,-38.125000318,293.125000
319,5041.250000319,-38.125000319,293.125000
320,5041.250000320,-38.125000320,293.125000
321,5041.250000321,-38.125000321,293.125000
322,5041.250000322,10.000000322,293.125000
323,5041.250000323,-38.125000323,293.125000
324,5041.250000324,-38.125000324,293.125000
325,5041.250000325,-38.125000325,293.125000
326,5041.250000326,10.000000326,293.125000
327,5041.250000327,-38.125000327,293.125000
328,5041.250000328,10.000000328,293.125000
329,5041.250000329,-38.125000329,293.125000
330,5041.250000330,-38.125000330,293.125000
331,5041.250000331,-38.125000331,293.125000
332,5041.250000332,-38.125000332,293.125000
333,5041.250000333,-38.125000333,293.125000
334,5041.250000334,10.000000334,293.125000
335,5041.250000335,-38.125000335,293.125000
336,5041.250000336,-38.125000336,293.125000
337,5041.250000337,-38.125000337,293.125000
338,5041.250000338,10.000000338,293.125000
339,5041.250000339,-38.125000339,293.125000
340,5137.500000340,-38.125000340,293.125000
341,5041.250000341,-38.125000341,293.125000
342,5041.250000342,-38.125000342,293.125000
343,5041.250000343,-38.125000343,283.500000
344,5041.250000344,10.000000344,293.125000
345,5041.250000345,-38.125000345,293.125000
346,5041.250000346,10.000000346,293.125000
347,5041.250000347,-38.125000347,293.125000
348,5041.250000348,-38.125000348,293.125000
349,5041.250000349,-38.125000349,293.125000
350,5041.250000350,10.000000350,293.125000
351,5041.250000351,-38.125000351,283.500000
352,5041.250000352,10.000000352,293.125000
353,5041.250000353,-38.125000353,283.500000
354,5041.250000354,10.000000354,293.125000
355,5041.250000355,-38.125000355,293.125000
356,5041.250000356,-38.125000356,293.125000
357,5041.250000357,-38.125000357,293.125000
358,5041.250000358,10.000000358,293.125000
359,5041.250000359,-38.125000359,283.500000
360,5041.250000360,10.000000360,293.125000
361,5041.250000361,-38.125000361,293.125000
362,5041.250000362,-38.125000362,293.125000
363,5041.250000363,-38.125000363,293.125000
364,5041.250000364,-38.125000364,293.125000
365,5041.250000365,-38.125000365,293.125000
366,5041.250000366,10.000000366,293.125000
367,5041.250000367,-38.125000367,293.125000
368,5041.250000368,-38.125000368,293.125000
369,5041.250000369,-38.125000369,293.125000
370,5041.250000370,10.000000370,293.125000
371,5041.250000371,-38.125000371,293.125000
372,5041.250000372,-38.125000372,293.125000
373,5137.500000373,-38.125000373,293.125000
374,5041.250000374,-38.125000374,293.125000
375,5041.250000375,-38.125000375,293.125000
376,5041.250000376,10.000000376,293.125000
377,5041.250000377,-38.125000377,293.125000
378,5041.250000378,10.000000378,293.125000
379,5041.250000379,-38.125000379,293.125000
380,5041.250000380,-38.125000380,293.125000
381,5041.250000381,-38.125000381,283.500000
382,5041.250000382,10.000000382,293.125000
383,5041.250000383,-38.125000383,293.125000
384,5041.250000384,10.000000384,283.500000
385,5041.250000385,-38.125000385,293.125000
386,5041.250000386,10.000000386,293.125000
387,5041.250000387,-38.125000387,283.500000
388,5041.250000388,-38.125000388,293.125000
389,5041.250000389,-38.125000389,293.125000
390,5041.250000390,10.000000390,293.125000
391,5041.250000391,-38.125000391,283.500000
392,5041.250000392,-38.125000392,293.125000
393,5041.250000393,-38.125000393,293.125000
394,5041.250000394,10.000000394,293.125000
395,5041.250000395,-38.125000395,293.125000
396,5041.250000396,-38.125000396,293.125000
397,5137.500000397,-38.125000397,293.125000
398,5041.250000398,-38.125000398,293.125000
399,5041.250000399,-38.125000399,293.125000
400,5041.250000400,-38.125000400,293.125000
401,5041.250000401,-38.125000401,293.125000
402,5041.250000402,-38.125000402,293.125000
403,5041.250000403,-38.125000403,293.125000
404,5041.250000404,-38.125000404,283.500000
405,5041.250000405,-38.125000405,293.125000
406,5041.250000406,-38.125000406,293.125000
407,5041.250000407,-38.125000407,283.500000
408,5041.250000408,-38.125000408,293.125000
409,5041.250000409,-38.125000409,293.125000
410,5041.250000410,10.000000410,293.125000
411,5041.250000411,-38.125000411,293.125000
412,5041.250000412,10.000000412,293.125000
413,5041.250000413,-38.125000413,293.125000
414,5041.250000414,10.000000414,293.125000
415,5041.250000415,-38.125000415,293.125000
416,5041.250000416,10.000000416,293.125000
417,5137.500000417,-38.125000417,293.125000
418,5041.250000418,10.000000418,293.125000
419,5041.250000419,-38.125000419,293.125000
420,5041.250000420,-38.125000420,293.125000
421,5041.250000421,-38.125000421,283.500000
422,5041.250000422,10.000000422,293.125000
423,5041.250000423,-38.125000423,283.500000
424,5041.250000424,-38.125000424,293.125000
425,5041.250000425,-38.125000425,293.125000
426,5041.250000426,10.000000426,293.125000
427,5041.250000427,-38.125000427,293.125000
428,5041.250000428,-38.125000428,283.500000
429,5041.250000429,-38.125000429,293.125000
430,5041.250000430,10.000000430,293.125000
431,5041.250000431,-38.125000431,283.500000
432,5041.250000432,10.000000432,293.125000
433,5041.250000433,-38.125000433,293.125000
434,5041.250000434,10.000000434,293.125000
435,5041.250000435,-38.125000435,283.500000
436,5041.250000436,-38.125000436,293.125000
437,5041.250000437,-38.125000437,293.125000
438,5041.250000438,10.000000438,293.125000
439,5041.250000439,-38.125000439,283.500000
440,5041.250000440,-38.125000440,293.125000
441,5041.250000441,-38.125000441,283.500000
442,5041.250000442,-38.125000442,293.125000
443,5041.250000443,-38.125000443,283.500000
444,5041.250000444,10.000000444,293.125000
445,5041.250000445,-38.125000445,293.125000
446,5041.250000446,10.000000446,293.125000
447,5041.250000447,-38.125000447,283.500000
