Channel              :,CH1,CH2
Frequency            :,  ?,  ?
Period               :,  ?,  ?
PK-PK                :,1.550V,1.730V
Average              :,1.950V,-23.35mV
Vertical pos         :,1.000000mV,1.000000mV
Probe attenuation    :,1X,1X
Voltage per ADC value:,0.312500mV,0.312500mV
Time interval        :,0.00200uS,0.00200uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
418,1941.250000418,12.500000
419,1941.250000419,12.500000
420,1941.250000420,12.500000
421,1941.250000421,12.500000
422,1941.250000422,12.500000
423,1941.250000423,12.500000
424,1941.250000424,12.500000
425,1941.250000425,12.500000
426,1941.250000426,12.500000
427,1941.250000427,-83.750000
428,1941.250000428,12.500000
429,1941.250000429,-83.750000
430,1941.250000430,12.500000
431,1941.250000431,-83.750000
432,1941.250000432,12.500000
433,1941.250000433,12.500000
434,1941.250000434,12.500000
435,1941.250000435,12.500000
436,1941.250000436,-83.750000
437,1941.250000437,12.500000
438,1941.250000438,12.500000
439,1941.250000439,12.500000
440,1941.250000440,12.500000
441,1941.250000441,12.500000
442,1941.250000442,12.500000
443,1941.250000443,12.500000
444,1941.250000444,12.500000
445,1941.250000445,12.500000
446,1941.250000446,12.500000
447,1941.250000447,12.500000
448,1941.250000448,-83.750000
449,1941.250000449,12.500000
450,1941.250000450,12.500000
451,1941.250000451,-83.750000
452,1941.250000452,-83.750000
453,1941.250000453,12.500000
454,1941.250000454,12.500000
455,1941.250000455,-83.750000
456,1941.250000456,12.500000
457,1941.250000457,12.500000
458,1941.250000458,12.500000
459,1941.250000459,12.500000
460,1941.250000460,12.500000
461,1941.250000461,12.500000
462,1941.250000462,12.500000
463,1941.250000463,12.500000
464,1941.250000464,12.500000
465,1941.250000465,12.500000
466,1941.250000466,12.500000
467,1941.250000467,12.500000
468,1941.250000468,12.500000
469,1941.250000469,-83.750000
470,1941.250000470,12.500000
471,1941.250000471,-83.750000
472,1941.250000472,12.500000
473,1941.250000473,12.500000
474,1941.250000474,12.500000
475,1941.250000475,12.500000
476,1941.250000476,12.500000
477,1941.250000477,-83.750000
478,1941.250000478,12.500000
479,1941.250000479,-83.750000
480,1941.250000480,12.500000
481,1941.250000481,-83.750000
482,1941.250000482,12.500000
483,1941.250000483,12.500000
484,1941.250000484,-83.750000
485,1941.250000485,12.500000
486,1941.250000486,12.500000
487,1941.250000487,-83.750000
488,1843.750000488,12.500000
489,2037.500000489,12.500000
490,1941.250000490,12.500000
491,1941.250000491,12.500000
492,1941.250000492,12.500000
493,1941.250000493,-83.750000
494,1941.250000494,12.500000
495,1941.250000495,-83.750000
496,1941.250000496,12.500000
497,1941.250000497,-83.750000
498,1941.250000498,12.500000
499,1941.250000499,-83.750000
500,1941.250000500,12.500000
501,1941.250000501,12.500000
502,1941.250000502,12.500000
503,1941.250000503,12.500000
504,1941.250000504,12.500000
505,1941.250000505,12.500000
506,2037.500000506,12.500000
507,1941.250000507,-83.750000
508,1941.250000508,12.500000
509,1941.250000509,12.500000
510,1941.250000510,12.500000
511,1941.250000511,12.500000
512,1941.250000512,12.500000
513,2037.500000513,12.500000
514,1941.250000514,12.500000
515,1941.250000515,12.500000
516,1941.250000516,12.500000
517,1941.250000517,12.500000
518,1941.250000518,12.500000
519,1941.250000519,-83.750000
520,1941.250000520,-83.750000
521,1941.250000521,12.500000
522,1941.250000522,-83.750000
523,1941.250000523,-83.750000
524,1941.250000524,-83.750000
525,1941.250000525,12.500000
526,1941.250000526,12.500000
527,1941.250000527,-83.750000
528,1941.250000528,12.500000
529,2037.500000529,12.500000
530,1941.250000530,12.500000
531,1941.250000531,-83.750000
532,1941.250000532,12.500000
533,1941.250000533,12.500000
534,1941.250000534,12.500000
535,1941.250000535,12.500000
536,1941.250000536,12.500000
537,1941.250000537,12.500000
538,1941.250000538,12.500000
539,1941.250000539,-83.750000
540,1941.250000540,12.500000
541,1941.250000541,12.500000
542,1941.250000542,12.500000
543,1941.250000543,12.500000
544,1941.250000544,12.500000
545,1941.250000545,12.500000
546,1941.250000546,12.500000
547,1941.250000547,12.500000
548,1941.250000548,12.500000
549,1941.250000549,12.500000
550,1941.250000550,12.500000
551,1941.250000551,-83.750000
552,1941.250000552,12.500000
553,1941.250000553,12.500000
554,1941.250000554,12.500000
555,1941.250000555,-83.750000
556,1941.250000556,12.500000
557,1941.250000557,12.500000
558,1941.250000558,12.500000
559,1941.250000559,-83.750000
560,1941.250000560,12.500000
561,1941.250000561,12.500000
562,1941.250000562,-83.750000
563,1941.250000563,12.500000
564,1941.250000564,12.500000
565,1941.250000565,12.500000
566,1941.250000566,12.500000
567,1941.250000567,12.500000
568,1941.250000568,-83.750000
569,2037.500000569,12.500000
570,1941.250000570,12.500000
571,1941.250000571,12.500000
572,1941.250000572,12.500000
573,1941.250000573,12.500000
574,1941.250000574,12.500000
575,1941.250000575,12.500000
576,1941.250000576,12.500000
577,1941.250000577,12.500000
578,1941.250000578,12.500000
579,1941.250000579,12.500000
580,1941.250000580,12.500000
581,1941.250000581,12.500000
582,1941.250000582,12.500000
583,1941.250000583,-83.750000
584,1941.250000584,12.500000
585,1941.250000585,-83.750000
586,1941.250000586,12.500000
587,1941.250000587,12.500000
588,1941.250000588,12.500000
589,1941.250000589,12.500000
590,1941.250000590,-83.750000
591,1941.250000591,12.500000
592,1941.250000592,-83.750000
593,1941.250000593,-83.750000
594,1941.250000594,12.500000
595,1941.250000595,-83.750000
596,1941.250000596,12.500000
597,1941.250000597,12.500000
598,1941.250000598,12.500000
599,1941.250000599,12.500000
600,1941.250000600,-83.750000
601,1941.250000601,12.500000
602,1941.250000602,12.500000
603,1941.250000603,12.500000
604,1941.250000604,-83.750000
605,1941.250000605,12.500000
606,1941.250000606,12.500000
607,1941.250000607,-83.750000
608,1941.250000608,12.500000
609,1941.250000609,12.500000
610,1941.250000610,-83.750000
611,1941.250000611,-83.750000
612,1941.250000612,12.500000
613,1941.250000613,-83.750000
614,1941.250000614,12.500000
615,1941.250000615,-83.750000
616,1941.250000616,12.500000
617,1941.250000617,12.500000
618,1941.250000618,12.500000
619,1941.250000619,-83.750000
620,1941.250000620,12.500000
621,1941.250000621,12.500000
622,1941.250000622,-83.750000
623,1941.250000623,12.500000
624,1941.250000624,12.500000
625,1941.250000625,12.500000
626,1941.250000626,12.500000
627,1941.250000627,-83.750000
628,1941.250000628,12.500000
629,1941.250000629,12.500000
630,1941.250000630,12.500000
631,1941.250000631,-83.750000
