Channel              :,CH1,CH2,CH3
Frequency            :,  ?,1.250MHz,  ?
Period               :,  ?,800.0ns,  ?
PK-PK                :,6.102V,1.727V,317.6mV
Average              :,4.610V,-25.02mV,1.210V
Vertical pos         :,1.000000mV,1.000000mV,1.000000mV
Probe attenuation    :,1X,1X,1X
Voltage per ADC value:,0.312500mV,0.156250mV,0.031250mV
Time interval        :,0.10000uS,0.10000uS,0.10000uS

index,CH1_Voltage(mV),CH2_Voltage(mV),CH3_Voltage(mV)
60,5041.25000060,10.00000060,1310.000000
61,4943.75000061,-38.12500061,1310.000000
62,4943.75000062,-38.12500062,1310.000000
63,4943.75000063,-38.12500063,1310.000000
64,4943.75000064,-38.12500064,1310.000000
65,4943.75000065,-38.12500065,1310.000000
66,4943.75000066,10.00000066,1310.000000
67,4943.75000067,-38.12500067,1310.000000
68,4943.75000068,-38.12500068,1310.000000
69,4943.75000069,-38.12500069,1310.000000
70,4943.75000070,-38.12500070,1310.000000
71,4943.75000071,-38.12500071,1310.000000
72,4943.75000072,-38.12500072,1310.000000
73,4943.75000073,-38.12500073,1310.000000
74,4943.75000074,10.00000074,1310.000000
75,4943.75000075,10.00000075,1310.000000
76,4943.75000076,-38.12500076,1310.000000
77,4943.75000077,-38.12500077,1310.000000
78,4943.75000078,-38.12500078,1310.000000
79,4943.75000079,-38.12500079,1310.000000
80,4943.75000080,-38.12500080,1310.000000
81,4943.75000081,-38.12500081,1310.000000
82,4943.75000082,-38.12500082,1310.000000
83,4943.75000083,-38.12500083,1310.000000
84,4943.75000084,10.00000084,1310.000000
85,4943.75000085,10.00000085,1310.000000
86,4943.75000086,10.00000086,1310.000000
87,4943.75000087,-38.12500087,1310.000000
88,4943.75000088,-38.12500088,1310.000000
89,5041.25000089,10.00000089,1310.000000
90,4943.75000090,-38.12500090,1310.000000
91,4943.75000091,-38.12500091,1310.000000
92,4943.75000092,-38.12500092,1310.000000
93,4943.75000093,10.00000093,1310.000000
94,4943.75000094,-38.12500094,1310.000000
95,4943.75000095,-38.12500095,1300.375000
96,4943.75000096,10.00000096,1310.000000
97,4943.75000097,10.00000097,1300.375000
98,4943.75000098,-38.12500098,1310.000000
99,4943.75000099,-38.12500099,1310.000000
100,4943.750000100,10.000000100,1310.000000
101,4943.750000101,-38.125000101,1310.000000
102,4943.750000102,-38.125000102,1310.000000
103,4943.750000103,-38.125000103,1310.000000
104,4943.750000104,-38.125000104,1310.000000
105,4943.750000105,-38.125000105,1310.000000
106,4943.750000106,-38.125000106,1310.000000
107,5041.250000107,-38.125000107,1310.000000
108,4943.750000108,-38.125000108,1310.000000
109,4943.750000109,10.000000109,1310.000000
110,4943.750000110,-38.125000110,1310.000000
111,4943.750000111,-38.125000111,1310.000000
112,4943.750000112,-38.125000112,1310.000000
113,4943.750000113,10.000000113,1310.000000
114,4943.750000114,-38.125000114,1300.375000
115,4943.750000115,-38.125000115,1310.000000
116,4943.750000116,10.000000116,1310.000000
117,4943.750000117,10.000000117,1310.000000
118,4943.750000118,10.000000118,1310.000000
119,4943.750000119,-38.125000119,1310.000000
120,4943.750000120,10.000000120,1310.000000
121,4943.750000121,-38.125000121,1310.000000
122,4943.750000122,-38.125000122,1310.000000
123,4943.750000123,-38.125000123,1310.000000
124,4943.750000124,-38.125000124,1310.000000
125,4943.750000125,-38.125000125,1310.000000
126,4943.750000126,-38.125000126,1310.000000
127,4943.750000127,-38.125000127,1310.000000
128,4943.750000128,-38.125000128,1310.000000
129,4943.750000129,10.000000129,1310.000000
130,4943.750000130,10.000000130,1310.000000
131,4943.750000131,-38.125000131,1310.000000
132,4943.750000132,10.000000132,1310.000000
133,4943.750000133,-38.125000133,1310.000000
134,5041.250000134,10.000000134,1300.375000
135,4943.750000135,-38.125000135,1300.375000
136,4943.750000136,-38.125000136,1310.000000
137,4943.750000137,-38.125000137,1300.375000
138,5041.250000138,10.000000138,1310.000000
139,4943.750000139,-38.125000139,1310.000000
140,4943.750000140,-38.125000140,1310.000000
141,4943.750000141,-38.125000141,1300.375000
142,4943.750000142,-38.125000142,1310.000000
143,4943.750000143,-38.125000143,1310.000000
144,4943.750000144,-38.125000144,1310.000000
145,4943.750000145,-38.125000145,1310.000000
146,4943.750000146,10.000000146,1300.375000
147,4943.750000147,-38.125000147,1300.375000
148,4943.750000148,-38.125000148,1310.000000
149,4943.750000149,-38.125000149,1310.000000
150,4943.750000150,10.000000150,1310.000000
151,4943.750000151,-38.125000151,1310.000000
152,4943.750000152,10.000000152,1300.375000
153,5041.250000153,-38.125000153,1300.375000
154,4943.750000154,10.000000154,1310.000000
155,4943.750000155,10.000000155,1310.000000
